,Gas consumption [Nm3],Electric consumption [Wh],Oil consumption [L],Wood consumption [kg]
2023-02-17 04:00:00,18.19473609193291,564641.8512323898,0.8411993720915342,0.0
2023-02-17 05:00:00,18.19473609193291,564641.8512323898,0.8411993720915342,0.0
2023-02-17 06:00:00,23.006774947698773,656636.1289869429,0.8411993720915342,0.0
2023-02-17 07:00:00,23.006774947698773,779188.0867137174,0.8411993720915342,0.0
2023-02-17 08:00:00,23.006774947698773,779188.0867137174,0.8411993720915342,0.0
2023-02-17 09:00:00,23.006774947698773,656636.1289869429,0.8411993720915342,0.0
2023-02-17 10:00:00,23.006774947698773,595360.1501235559,0.8411993720915342,0.0
2023-02-17 11:00:00,23.006774947698773,656636.1289869429,0.8411993720915342,0.0
2023-02-17 12:00:00,23.006774947698773,656636.1289869429,0.8411993720915342,0.0
2023-02-17 13:00:00,23.006774947698773,656636.1289869429,0.8411993720915342,0.0
2023-02-17 14:00:00,23.006774947698773,656636.1289869429,0.8411993720915342,0.0
2023-02-17 15:00:00,23.006774947698773,595360.1501235559,0.8411993720915342,0.0
2023-02-17 16:00:00,23.006774947698773,687274.1184186359,0.8411993720915342,0.0
2023-02-17 17:00:00,23.006774947698773,809826.0761454107,0.8411993720915342,0.0
2023-02-17 18:00:00,18.19473609193291,809745.7666859376,0.8411993720915342,0.0
2023-02-17 19:00:00,18.19473609193291,871021.745549325,0.8411993720915342,0.0
2023-02-17 20:00:00,18.19473609193291,871021.745549325,0.8411993720915342,0.0
2023-02-17 21:00:00,18.19473609193291,871021.745549325,0.8411993720915342,0.0
2023-02-17 22:00:00,18.19473609193291,717831.7983908573,0.8411993720915342,0.0
2023-02-17 23:00:00,18.19473609193291,717831.7983908573,0.8411993720915342,0.0
2023-02-18 00:00:00,18.19473609193291,552869.1308295014,0.8411993720915342,0.0
2023-02-18 01:00:00,18.19473609193291,552869.1308295014,0.8411993720915342,0.0
2023-02-18 02:00:00,18.19473609193291,552869.1308295014,0.8411993720915342,0.0
2023-02-18 03:00:00,18.19473609193291,552869.1308295014,0.8411993720915342,0.0
2023-02-18 04:00:00,18.19473609193291,552869.1308295014,0.8411993720915342,0.0
2023-02-18 05:00:00,18.19473609193291,552869.1308295014,0.8411993720915342,0.0
2023-02-18 06:00:00,23.006774947698773,641331.5924631879,0.8411993720915342,0.0
2023-02-18 07:00:00,23.006774947698773,759174.4620288071,0.8411993720915342,0.0
2023-02-18 08:00:00,23.006774947698773,759174.4620288071,0.8411993720915342,0.0
2023-02-18 09:00:00,23.006774947698773,641331.5924631879,0.8411993720915342,0.0
2023-02-18 10:00:00,23.006774947698773,582410.1576803786,0.8411993720915342,0.0
2023-02-18 11:00:00,23.006774947698773,641331.5924631879,0.8411993720915342,0.0
2023-02-18 12:00:00,23.006774947698773,641331.5924631879,0.8411993720915342,0.0
2023-02-18 13:00:00,23.006774947698773,641331.5924631879,0.8411993720915342,0.0
2023-02-18 14:00:00,23.006774947698773,641331.5924631879,0.8411993720915342,0.0
2023-02-18 15:00:00,23.006774947698773,582410.1576803786,0.8411993720915342,0.0
2023-02-18 16:00:00,23.006774947698773,670792.3098545922,0.8411993720915342,0.0
2023-02-18 17:00:00,23.006774947698773,788635.1794202115,0.8411993720915342,0.0
2023-02-18 18:00:00,18.19473609193291,788554.8699607385,0.8411993720915342,0.0
2023-02-18 19:00:00,18.19473609193291,847476.304743548,0.8411993720915342,0.0
2023-02-18 20:00:00,18.19473609193291,847476.304743548,0.8411993720915342,0.0
2023-02-18 21:00:00,18.19473609193291,847476.304743548,0.8411993720915342,0.0
2023-02-18 22:00:00,18.19473609193291,700172.7177865246,0.8411993720915342,0.0
2023-02-18 23:00:00,18.19473609193291,700172.7177865246,0.8411993720915342,0.0
2023-02-19 00:00:00,18.19473609193291,576414.5716352786,0.8411993720915342,0.0
